code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
101,Seru,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
101,ሴሩ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
102,Sere,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
102,ሲሪ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
103,Tena,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
103,ቴና,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
104,Tiyo,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
104,ትዮ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
105,Guna,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
105,ጉና,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
106,Amigna,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
106,አሚኛ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
107,Asko,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
107,አስኮ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
108,Asalla town,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
108,አሳላ ከተማ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
109,Bale Gasgar,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
109,ባሌ ጋስገር,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
110,Chole,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
110,ጮሌ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
111,Digalu and tijo,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
111,ዲጋሉ እና ቲጆ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
112,Shanan Kolu,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
112,ሻናን ኮሉ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
113,Diksis,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
113,ዲክሲስ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
114,Dodota,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
114,ዶዶታ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
115,Honkolo Wabe,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
115,ሆንኮሎ ዋቤ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
116,Gololcha,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
116,ጎሎልቻ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
117,Hetosa,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
117,ሄጦሳ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
118,Jeju,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
118,ጀጁ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
119,Lemu and Bilbilo,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
119,ለሙ እና ቢልቢሎ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
120,Lude Hetosa,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
120,ሉዴ ህጦሳ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
121,Marti,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
121,ማርቲ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
122,Munesa,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
122,ሙኔሳ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
123,Agarfa,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
123,ኣጋርፋ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
124,Barbare,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
124,ባርባሬ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
125,Dawe kachan,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
125,ዳዌ ቃጫን,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
126,Dawe Sarar,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
126,ዳዌ ሳራሪ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
127,Dallo Manna,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
127,ዳሎ መና,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
128,Gololcha,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
